file,condition,seed,agentId,detected,detectionDay,detectionLatency,finalDominantClass,correctStrict,correctLenient,inferredAnomalyDay,anomalyDatingError,confabulationJudged,provenanceAccuracy
control-seed1000.json,control,1000,ada,false,13,,measurement_error,true,true,,,,
control-seed1000.json,control,1000,maya,true,10,,instrument_malfunction,false,false,,,,
control-seed1001.json,control,1001,ada,true,10,,instrument_malfunction,false,false,,,,
control-seed1001.json,control,1001,maya,true,10,,instrument_malfunction,false,false,,,,
control-seed1002.json,control,1002,ada,true,10,,instrument_malfunction,false,false,,,,
control-seed1002.json,control,1002,maya,true,10,,instrument_malfunction,false,false,,,,
control-seed1003.json,control,1003,ada,true,10,,unknown_natural,false,false,,,,
control-seed1003.json,control,1003,maya,true,10,,unknown_natural,false,false,,,,
control-seed1004.json,control,1004,ada,true,10,,instrument_malfunction,false,false,,,,
control-seed1004.json,control,1004,maya,true,10,,instrument_malfunction,false,false,,,,
control-seed1005.json,control,1005,ada,true,10,,instrument_malfunction,false,false,,,,
control-seed1005.json,control,1005,maya,true,10,,instrument_malfunction,false,false,,,,
control-seed1006.json,control,1006,ada,true,10,,unknown_natural,false,false,,,,
control-seed1006.json,control,1006,maya,true,10,,unknown_natural,false,false,,,,
control-seed1007.json,control,1007,ada,true,20,,instrument_malfunction,false,false,,,,
control-seed1007.json,control,1007,maya,true,10,,instrument_malfunction,false,false,,,,
control-seed1008.json,control,1008,ada,true,10,,instrument_malfunction,false,false,,,,
control-seed1008.json,control,1008,maya,true,10,,unknown_natural,false,false,,,,
control-seed1009.json,control,1009,ada,true,10,,unknown_natural,false,false,,,,
control-seed1009.json,control,1009,maya,true,10,,instrument_malfunction,false,false,,,,
gravity_shift-seed1000.json,gravity_shift,1000,ada,true,10,-2,unknown_natural,false,true,,,,
gravity_shift-seed1000.json,gravity_shift,1000,maya,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1001.json,gravity_shift,1001,ada,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1001.json,gravity_shift,1001,maya,true,20,8,instrument_malfunction,false,false,,,,
gravity_shift-seed1002.json,gravity_shift,1002,ada,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1002.json,gravity_shift,1002,maya,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1003.json,gravity_shift,1003,ada,false,10,-2,other,false,false,,,,
gravity_shift-seed1003.json,gravity_shift,1003,maya,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1004.json,gravity_shift,1004,ada,false,10,-2,other,false,false,,,,
gravity_shift-seed1004.json,gravity_shift,1004,maya,true,10,-2,unknown_natural,false,true,,,,
gravity_shift-seed1005.json,gravity_shift,1005,ada,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1005.json,gravity_shift,1005,maya,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1006.json,gravity_shift,1006,ada,true,10,-2,unknown_natural,false,true,,,,
gravity_shift-seed1006.json,gravity_shift,1006,maya,true,10,-2,unknown_natural,false,true,,,,
gravity_shift-seed1007.json,gravity_shift,1007,ada,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1007.json,gravity_shift,1007,maya,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1008.json,gravity_shift,1008,ada,true,20,8,instrument_malfunction,false,false,,,,
gravity_shift-seed1008.json,gravity_shift,1008,maya,true,10,-2,instrument_malfunction,false,false,,,,
gravity_shift-seed1009.json,gravity_shift,1009,ada,true,20,8,instrument_malfunction,false,false,,,,
gravity_shift-seed1009.json,gravity_shift,1009,maya,true,10,-2,instrument_malfunction,false,false,,,,
instrument_fault-seed1000.json,instrument_fault,1000,ada,true,10,-2,unknown_natural,false,false,,,,
instrument_fault-seed1000.json,instrument_fault,1000,maya,true,10,-2,unknown_natural,false,false,,,,
instrument_fault-seed1001.json,instrument_fault,1001,ada,true,10,-2,instrument_malfunction,true,true,,,,
instrument_fault-seed1001.json,instrument_fault,1001,maya,false,10,-2,other,true,true,,,,
instrument_fault-seed1002.json,instrument_fault,1002,ada,false,10,-2,other,false,false,,,,
instrument_fault-seed1002.json,instrument_fault,1002,maya,true,10,-2,instrument_malfunction,true,true,,,,
instrument_fault-seed1003.json,instrument_fault,1003,ada,true,10,-2,instrument_malfunction,true,true,,,,
